Recording	Participant	TOI	Interval	clause_type	number	AOI	Stimulus	Total_duration_of_fixations	Average_duration_of_fixations	Number_of_fixations	Duration_of_first_fixation	Number_of_saccades_in_AOI
Recording1	Test Participant 1	Stimulus	6	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	6	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	6	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	6	or	ss	Rectangle 3	s4	14	14	1	14	0
Recording1	Test Participant 1	Stimulus	6	or	ss	Rectangle 3	s4	136	136	1	136	0
Recording1	Test Participant 1	Stimulus	6	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	6	or	ss	Rectangle 4	s5	23	23	1	23	0
Recording1	Test Participant 1	Stimulus	7	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	7	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	7	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	7	or	ss	Rectangle 1	s1	0		0		0
Recording1	Test Participant 1	Stimulus	7	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	7	or	ss	Rectangle 2	s2	0		0		0
Recording1	Test Participant 1	Stimulus	7	or	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	7	or	ss	Rectangle 3	s3	482	482	1	482	0
Recording1	Test Participant 1	Stimulus	7	or	ss	Rectangle 4	s5	41	41	1	41	0
Recording1	Test Participant 1	Stimulus	7	or	ss	Rectangle 4	s4	0		0		0
Recording1	Test Participant 1	Stimulus	7	or	ss	Rectangle 5	s5	0		0		0
Recording1	Test Participant 1	Stimulus	8	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	8	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	8	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	8	or	ss	Rectangle 1	s1	0		0		0
Recording1	Test Participant 1	Stimulus	8	or	ss	Rectangle 2	s3	190	190	1	190	0
Recording1	Test Participant 1	Stimulus	8	or	ss	Rectangle 2	s2	0		0		0
Recording1	Test Participant 1	Stimulus	8	or	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	8	or	ss	Rectangle 3	s3	34	34	1	34	0
Recording1	Test Participant 1	Stimulus	8	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	8	or	ss	Rectangle 4	s4	0		0		0
Recording1	Test Participant 1	Stimulus	8	or	ss	Rectangle 5	s5	0		0		0
Recording1	Test Participant 1	Stimulus	9	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	9	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	9	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	9	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	9	or	ss	Rectangle 2	s3	44	44	1	44	0
Recording1	Test Participant 1	Stimulus	9	or	ss	Rectangle 2	s3	153	153	1	153	0
Recording1	Test Participant 1	Stimulus	9	or	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	9	or	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	9	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	9	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	10	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	10	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	10	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	10	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	10	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	10	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	10	or	ss	Rectangle 3	s4	83	83	1	83	0
Recording1	Test Participant 1	Stimulus	10	or	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	10	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	10	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	11	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	11	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	11	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	11	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	11	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	11	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	11	or	ss	Rectangle 3	s4	30	30	1	30	0
Recording1	Test Participant 1	Stimulus	11	or	ss	Rectangle 3	s4	103	103	1	103	0
Recording1	Test Participant 1	Stimulus	11	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	11	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	12	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	12	or	ss	Rectangle	s1	191	191	1	191	0
Recording1	Test Participant 1	Stimulus	12	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	12	or	ss	Rectangle 1	s1	191	191	1	191	0
Recording1	Test Participant 1	Stimulus	12	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	12	or	ss	Rectangle 2	s2	0		0		0
Recording1	Test Participant 1	Stimulus	12	or	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	12	or	ss	Rectangle 3	s3	186	93	2	103	1
Recording1	Test Participant 1	Stimulus	12	or	ss	Rectangle 4	s5	30	30	1	30	0
Recording1	Test Participant 1	Stimulus	12	or	ss	Rectangle 4	s4	0		0		0
Recording1	Test Participant 1	Stimulus	12	or	ss	Rectangle 5	s5	0		0		0
Recording1	Test Participant 1	Stimulus	13	or	ss	Rectangle	s1	120	120	1	120	0
Recording1	Test Participant 1	Stimulus	13	or	ss	Rectangle	s1	39	39	1	39	0
Recording1	Test Participant 1	Stimulus	13	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	13	or	ss	Rectangle 1	s1	39	39	1	39	0
Recording1	Test Participant 1	Stimulus	13	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	13	or	ss	Rectangle 2	s2	0		0		0
Recording1	Test Participant 1	Stimulus	13	or	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	13	or	ss	Rectangle 3	s3	0		0		0
Recording1	Test Participant 1	Stimulus	13	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	13	or	ss	Rectangle 4	s4	0		0		0
Recording1	Test Participant 1	Stimulus	13	or	ss	Rectangle 5	s5	0		0		0
Recording1	Test Participant 1	Stimulus	14	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	14	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	14	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	14	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	14	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	14	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	14	or	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	14	or	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	14	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	14	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	15	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	15	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	15	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	15	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	15	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	15	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	15	or	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	15	or	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	15	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	15	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	16	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	16	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	16	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	16	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	16	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	16	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	16	or	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	16	or	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	16	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	16	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	17	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	17	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	17	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	17	or	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	17	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	18	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	18	sr	ps	Rectangle 1	s2	273	273	1	273	0
Recording1	Test Participant 1	Stimulus	18	sr	ps	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	18	sr	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	18	sr	ps	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	19	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	19	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	19	sr	ps	Rectangle 1	s2	440	440	1	440	0
Recording1	Test Participant 1	Stimulus	19	sr	ps	Rectangle 1	s2	40	40	1	40	0
Recording1	Test Participant 1	Stimulus	19	sr	ps	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	19	sr	ps	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	19	sr	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	19	sr	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	19	sr	ps	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	19	sr	ps	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	20	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	20	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	20	sr	ps	Rectangle 1	s2	27	27	1	27	0
Recording1	Test Participant 1	Stimulus	20	sr	ps	Rectangle 1	s2	253	127	2	3	1
Recording1	Test Participant 1	Stimulus	20	sr	ps	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	20	sr	ps	Rectangle 2	s3	12	12	1	12	0
Recording1	Test Participant 1	Stimulus	20	sr	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	20	sr	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	20	sr	ps	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	20	sr	ps	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	21	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	21	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	21	sr	ps	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	21	sr	ps	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	21	sr	ps	Rectangle 2	s3	239	80	3	86	1
Recording1	Test Participant 1	Stimulus	21	sr	ps	Rectangle 2	s3	35	35	1	35	0
Recording1	Test Participant 1	Stimulus	21	sr	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	21	sr	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	21	sr	ps	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	21	sr	ps	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	22	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	22	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	22	sr	ps	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	22	sr	ps	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	22	sr	ps	Rectangle 2	s3	14	14	1	14	0
Recording1	Test Participant 1	Stimulus	22	sr	ps	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	22	sr	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	22	sr	ps	Rectangle 3	s4	500	250	2	167	1
Recording1	Test Participant 1	Stimulus	22	sr	ps	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	22	sr	ps	Rectangle 4	s5	43	43	1	43	0
Recording1	Test Participant 1	Stimulus	23	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	23	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	23	sr	ps	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	23	sr	ps	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	23	sr	ps	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	23	sr	ps	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	23	sr	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	23	sr	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	23	sr	ps	Rectangle 4	s5	378	189	2	136	1
Recording1	Test Participant 1	Stimulus	23	sr	ps	Rectangle 4	s5	38	38	1	38	0
Recording1	Test Participant 1	Stimulus	24	or,sr	pp,ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	24	or,sr	pp,ps	Rectangle	s1	338	338	1	338	0
Recording1	Test Participant 1	Stimulus	24	or,sr	pp,ps	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	24	or,sr	pp,ps	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	24	or,sr	pp,ps	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	24	or,sr	pp,ps	Rectangle 2	s3	86	86	1	86	0
Recording1	Test Participant 1	Stimulus	24	or,sr	pp,ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	24	or,sr	pp,ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	24	or,sr	pp,ps	Rectangle 4	s5	39	39	1	39	0
Recording1	Test Participant 1	Stimulus	24	or,sr	pp,ps	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	25	or,sr	pp	Rectangle	s1	236	236	1	236	0
Recording1	Test Participant 1	Stimulus	25	or,sr	pp	Rectangle	s1	26	26	1	26	0
Recording1	Test Participant 1	Stimulus	25	or,sr	pp	Rectangle 1	s2	217	217	1	217	0
Recording1	Test Participant 1	Stimulus	25	or,sr	pp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	25	or,sr	pp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	25	or,sr	pp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	25	or,sr	pp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	25	or,sr	pp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	25	or,sr	pp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	25	or,sr	pp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	26	or,sr	pp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	26	or,sr	pp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	26	or,sr	pp	Rectangle 1	s2	30	30	1	30	0
Recording1	Test Participant 1	Stimulus	26	or,sr	pp	Rectangle 1	s2	120	120	1	120	0
Recording1	Test Participant 1	Stimulus	26	or,sr	pp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	26	or,sr	pp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	26	or,sr	pp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	26	or,sr	pp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	26	or,sr	pp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	26	or,sr	pp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	27	or,sr	pp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	27	or,sr	pp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	27	or,sr	pp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	27	or,sr	pp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	27	or,sr	pp	Rectangle 2	s3	286	286	1	286	0
Recording1	Test Participant 1	Stimulus	27	or,sr	pp	Rectangle 2	s3	30	30	1	30	0
Recording1	Test Participant 1	Stimulus	27	or,sr	pp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	27	or,sr	pp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	27	or,sr	pp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	27	or,sr	pp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	28	or,sr	pp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	28	or,sr	pp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	28	or,sr	pp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	28	or,sr	pp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	28	or,sr	pp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	28	or,sr	pp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	28	or,sr	pp	Rectangle 3	s4	14	14	1	14	0
Recording1	Test Participant 1	Stimulus	28	or,sr	pp	Rectangle 3	s4	374	187	2	253	1
Recording1	Test Participant 1	Stimulus	28	or,sr	pp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	28	or,sr	pp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	29	or,sr	pp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	29	or,sr	pp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	29	or,sr	pp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	29	or,sr	pp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	29	or,sr	pp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	29	or,sr	pp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	29	or,sr	pp	Rectangle 3	s4	26	26	1	26	0
Recording1	Test Participant 1	Stimulus	29	or,sr	pp	Rectangle 3	s4	120	120	1	120	0
Recording1	Test Participant 1	Stimulus	29	or,sr	pp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	29	or,sr	pp	Rectangle 4	s5	364	364	1	364	0
Recording1	Test Participant 1	Stimulus	30	or,sr	pp,sp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	30	or,sr	pp,sp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	30	or,sr	pp,sp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	30	or,sr	pp,sp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	30	or,sr	pp,sp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	30	or,sr	pp,sp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	30	or,sr	pp,sp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	30	or,sr	pp,sp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	30	or,sr	pp,sp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	30	or,sr	pp,sp	Rectangle 4	s5	32	32	1	32	0
Recording1	Test Participant 1	Stimulus	31	sr	sp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	31	sr	sp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	31	sr	sp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	31	sr	sp	Rectangle 1	s2	45	45	1	45	0
Recording1	Test Participant 1	Stimulus	31	sr	sp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	31	sr	sp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	31	sr	sp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	31	sr	sp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	31	sr	sp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	31	sr	sp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	32	sr	sp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	32	sr	sp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	32	sr	sp	Rectangle 1	s2	270	270	1	270	0
Recording1	Test Participant 1	Stimulus	32	sr	sp	Rectangle 1	s2	35	35	1	35	0
Recording1	Test Participant 1	Stimulus	32	sr	sp	Rectangle 2	s3	167	167	1	167	0
Recording1	Test Participant 1	Stimulus	32	sr	sp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	32	sr	sp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	32	sr	sp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	32	sr	sp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	32	sr	sp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	33	sr	sp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	33	sr	sp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	33	sr	sp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	33	sr	sp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	33	sr	sp	Rectangle 2	s3	30	30	1	30	0
Recording1	Test Participant 1	Stimulus	33	sr	sp	Rectangle 2	s3	286	95	3	136	1
Recording1	Test Participant 1	Stimulus	33	sr	sp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	33	sr	sp	Rectangle 3	s4	0		0		0
