Recording	Participant	TOI	Interval	clause_type	number	AOI	stimulus	Total_duration_of_fixations	Average_duration_of_fixations	Number_of_fixations	Duration_of_first_fixation	Number_of_saccades_in_AOI
Recording1	Test Participant 1	Stimulus	4	practice		Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	4	practice		Rectangle 3	s4	104	104	1	104	0
Recording1	Test Participant 1	Stimulus	4	practice		Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	4	practice		Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	5	practice		Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	5	practice		Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	5	practice		Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	5	practice		Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	5	practice		Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	5	practice		Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	5	practice		Rectangle 3	s4	359	359	1	359	0
Recording1	Test Participant 1	Stimulus	5	practice		Rectangle 3	s4	37	37	1	37	0
Recording1	Test Participant 1	Stimulus	5	practice		Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	5	practice		Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	6	practice		Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	6	practice		Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	6	practice		Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	6	practice		Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	6	practice		Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	6	practice		Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	6	practice		Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	6	practice		Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	6	practice		Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	6	practice		Rectangle 4	s5	319	319	1	319	0
Recording1	Test Participant 1	Stimulus	7	practice		Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	7	practice		Rectangle	s1	421	421	1	421	0
Recording1	Test Participant 1	Stimulus	7	practice		Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	7	practice		Rectangle 1	s1	421	421	1	421	0
Recording1	Test Participant 1	Stimulus	7	practice		Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	7	practice		Rectangle 2	s2	0		0		0
Recording1	Test Participant 1	Stimulus	7	practice		Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	7	practice		Rectangle 3	s3	0		0		0
Recording1	Test Participant 1	Stimulus	7	practice		Rectangle 4	s5	38	38	1	38	0
Recording1	Test Participant 1	Stimulus	7	practice		Rectangle 4	s4	0		0		0
Recording1	Test Participant 1	Stimulus	7	practice		Rectangle 5	s5	0		0		0
Recording1	Test Participant 1	Stimulus	8	practice		Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	8	practice		Rectangle	s1	12	12	1	12	0
Recording1	Test Participant 1	Stimulus	8	practice		Rectangle 1	s2	434	434	1	434	0
Recording1	Test Participant 1	Stimulus	8	practice		Rectangle 1	s1	12	12	1	12	0
Recording1	Test Participant 1	Stimulus	8	practice		Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	8	practice		Rectangle 2	s2	0		0		0
Recording1	Test Participant 1	Stimulus	8	practice		Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	8	practice		Rectangle 3	s3	0		0		0
Recording1	Test Participant 1	Stimulus	8	practice		Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	8	practice		Rectangle 4	s4	0		0		0
Recording1	Test Participant 1	Stimulus	8	practice		Rectangle 5	s5	0		0		0
Recording1	Test Participant 1	Stimulus	9	practice		Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	9	practice		Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	9	practice		Rectangle 1	s2	40	40	1	40	0
Recording1	Test Participant 1	Stimulus	9	practice		Rectangle 1	s2	109	109	1	109	0
Recording1	Test Participant 1	Stimulus	9	practice		Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	9	practice		Rectangle 2	s3	317	317	1	317	0
Recording1	Test Participant 1	Stimulus	9	practice		Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	9	practice		Rectangle 3	s4	61	61	1	61	0
Recording1	Test Participant 1	Stimulus	9	practice		Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	9	practice		Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	10	practice		Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	10	practice		Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	10	practice		Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	10	practice		Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	10	practice		Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	10	practice		Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	10	practice		Rectangle 3	s4	409	204	2	192	1
Recording1	Test Participant 1	Stimulus	10	practice		Rectangle 3	s4	47	47	1	47	0
Recording1	Test Participant 1	Stimulus	10	practice		Rectangle 4	s5	63	63	1	63	0
Recording1	Test Participant 1	Stimulus	10	practice		Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	11	practice		Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	11	practice		Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	11	practice		Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	11	practice		Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	11	practice		Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	11	practice		Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	11	practice		Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	11	practice		Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	11	practice		Rectangle 4	s5	45	45	1	45	0
Recording1	Test Participant 1	Stimulus	11	practice		Rectangle 4	s5	361	180	2	125	1
Recording1	Test Participant 1	Stimulus	12	practice		Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	12	practice		Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	12	practice		Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	12	practice		Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	12	practice		Rectangle 4	s5	39	39	1	39	0
Recording1	Test Participant 1	Stimulus	19	sr,filler	ss	Rectangle	s1	236	236	1	236	0
Recording1	Test Participant 1	Stimulus	19	sr,filler	ss	Rectangle 1	s2	175	175	1	175	0
Recording1	Test Participant 1	Stimulus	19	sr,filler	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	19	sr,filler	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	19	sr,filler	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	20	sr	ss	Rectangle	s1	175	175	1	175	0
Recording1	Test Participant 1	Stimulus	20	sr	ss	Rectangle	s1	39	39	1	39	0
Recording1	Test Participant 1	Stimulus	20	sr	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	20	sr	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	20	sr	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	20	sr	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	20	sr	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	20	sr	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	20	sr	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	20	sr	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	21	sr	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	21	sr	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	21	sr	ss	Rectangle 1	s2	508	508	1	508	0
Recording1	Test Participant 1	Stimulus	21	sr	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	21	sr	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	21	sr	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	21	sr	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	21	sr	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	21	sr	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	21	sr	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	22	sr	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	22	sr	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	22	sr	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	22	sr	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	22	sr	ss	Rectangle 2	s3	8	8	1	8	0
Recording1	Test Participant 1	Stimulus	22	sr	ss	Rectangle 2	s3	525	263	2	159	1
Recording1	Test Participant 1	Stimulus	22	sr	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	22	sr	ss	Rectangle 3	s4	31	31	1	31	0
Recording1	Test Participant 1	Stimulus	22	sr	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	22	sr	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	23	sr	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	23	sr	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	23	sr	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	23	sr	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	23	sr	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	23	sr	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	23	sr	ss	Rectangle 3	s4	27	27	1	27	0
Recording1	Test Participant 1	Stimulus	23	sr	ss	Rectangle 3	s4	392	196	2	125	1
Recording1	Test Participant 1	Stimulus	23	sr	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	23	sr	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	24	sr	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	24	sr	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	24	sr	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	24	sr	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	24	sr	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	24	sr	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	24	sr	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	24	sr	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	24	sr	ss	Rectangle 4	s5	570	285	2	359	1
Recording1	Test Participant 1	Stimulus	24	sr	ss	Rectangle 4	s5	8	8	1	8	0
Recording1	Test Participant 1	Stimulus	25	sr,filler	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	25	sr,filler	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	25	sr,filler	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	25	sr,filler	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	25	sr,filler	ss	Rectangle 4	s5	47	47	1	47	0
Recording1	Test Participant 1	Stimulus	31	sr,filler	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	31	sr,filler	ps	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	31	sr,filler	ps	Rectangle 2	s3	158	158	1	158	0
Recording1	Test Participant 1	Stimulus	31	sr,filler	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	31	sr,filler	ps	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	32	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	32	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	32	sr	ps	Rectangle 1	s2	466	233	2	300	1
Recording1	Test Participant 1	Stimulus	32	sr	ps	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	32	sr	ps	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	32	sr	ps	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	32	sr	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	32	sr	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	32	sr	ps	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	32	sr	ps	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	33	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	33	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	33	sr	ps	Rectangle 1	s2	242	242	1	242	0
Recording1	Test Participant 1	Stimulus	33	sr	ps	Rectangle 1	s2	25	25	1	25	0
Recording1	Test Participant 1	Stimulus	33	sr	ps	Rectangle 2	s3	148	148	1	148	0
Recording1	Test Participant 1	Stimulus	33	sr	ps	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	33	sr	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	33	sr	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	33	sr	ps	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	33	sr	ps	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	34	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	34	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	34	sr	ps	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	34	sr	ps	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	34	sr	ps	Rectangle 2	s3	27	27	1	27	0
Recording1	Test Participant 1	Stimulus	34	sr	ps	Rectangle 2	s3	371	186	2	158	1
Recording1	Test Participant 1	Stimulus	34	sr	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	34	sr	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	34	sr	ps	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	34	sr	ps	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	35	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	35	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	35	sr	ps	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	35	sr	ps	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	35	sr	ps	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	35	sr	ps	Rectangle 2	s3	20	20	1	20	0
Recording1	Test Participant 1	Stimulus	35	sr	ps	Rectangle 3	s4	533	267	2	300	1
Recording1	Test Participant 1	Stimulus	35	sr	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	35	sr	ps	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	35	sr	ps	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	36	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	36	sr	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	36	sr	ps	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	36	sr	ps	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	36	sr	ps	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	36	sr	ps	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	36	sr	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	36	sr	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	36	sr	ps	Rectangle 4	s5	25	25	1	25	0
Recording1	Test Participant 1	Stimulus	36	sr	ps	Rectangle 4	s5	489	245	2	125	1
Recording1	Test Participant 1	Stimulus	37	sr,filler	ps	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	37	sr,filler	ps	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	37	sr,filler	ps	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	37	sr,filler	ps	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	37	sr,filler	ps	Rectangle 4	s5	44	44	1	44	0
Recording1	Test Participant 1	Stimulus	61	or,sr	pp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	61	or,sr	pp	Rectangle 1	s2	152	152	1	152	0
Recording1	Test Participant 1	Stimulus	61	or,sr	pp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	61	or,sr	pp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	61	or,sr	pp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	62	sr	pp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	62	sr	pp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	62	sr	pp	Rectangle 1	s2	305	305	1	305	0
Recording1	Test Participant 1	Stimulus	62	sr	pp	Rectangle 1	s2	31	31	1	31	0
Recording1	Test Participant 1	Stimulus	62	sr	pp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	62	sr	pp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	62	sr	pp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	62	sr	pp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	62	sr	pp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	62	sr	pp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	63	sr	pp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	63	sr	pp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	63	sr	pp	Rectangle 1	s2	29	29	1	29	0
Recording1	Test Participant 1	Stimulus	63	sr	pp	Rectangle 1	s2	267	133	2	67	1
Recording1	Test Participant 1	Stimulus	63	sr	pp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	63	sr	pp	Rectangle 2	s3	7	7	1	7	0
Recording1	Test Participant 1	Stimulus	63	sr	pp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	63	sr	pp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	63	sr	pp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	63	sr	pp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	64	sr	pp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	64	sr	pp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	64	sr	pp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	64	sr	pp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	64	sr	pp	Rectangle 2	s3	283	283	1	283	0
Recording1	Test Participant 1	Stimulus	64	sr	pp	Rectangle 2	s3	27	27	1	27	0
Recording1	Test Participant 1	Stimulus	64	sr	pp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	64	sr	pp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	64	sr	pp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	64	sr	pp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	65	sr	pp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	65	sr	pp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	65	sr	pp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	65	sr	pp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	65	sr	pp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	65	sr	pp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	65	sr	pp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	65	sr	pp	Rectangle 3	s4	201	101	2	183	1
Recording1	Test Participant 1	Stimulus	65	sr	pp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	65	sr	pp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	66	sr	pp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	66	sr	pp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	66	sr	pp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	66	sr	pp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	66	sr	pp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	66	sr	pp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	66	sr	pp	Rectangle 3	s4	32	32	1	32	0
Recording1	Test Participant 1	Stimulus	66	sr	pp	Rectangle 3	s4	117	117	1	117	0
Recording1	Test Participant 1	Stimulus	66	sr	pp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	66	sr	pp	Rectangle 4	s5	242	242	1	242	0
Recording1	Test Participant 1	Stimulus	67	sr	pp,sp	Rectangle	s1	132	132	1	132	0
Recording1	Test Participant 1	Stimulus	67	sr	pp,sp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	67	sr	pp,sp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	67	sr	pp,sp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	67	sr	pp,sp	Rectangle 2	s3	133	133	1	133	0
Recording1	Test Participant 1	Stimulus	67	sr	pp,sp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	67	sr	pp,sp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	67	sr	pp,sp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	67	sr	pp,sp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	67	sr	pp,sp	Rectangle 4	s5	41	41	1	41	0
Recording1	Test Participant 1	Stimulus	68	sr	sp	Rectangle	s1	35	35	1	35	0
Recording1	Test Participant 1	Stimulus	68	sr	sp	Rectangle	s1	250	250	1	250	0
Recording1	Test Participant 1	Stimulus	68	sr	sp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	68	sr	sp	Rectangle 1	s2	163	163	1	163	0
Recording1	Test Participant 1	Stimulus	68	sr	sp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	68	sr	sp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	68	sr	sp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	68	sr	sp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	68	sr	sp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	68	sr	sp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	69	sr	sp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	69	sr	sp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	69	sr	sp	Rectangle 1	s2	67	67	1	67	0
Recording1	Test Participant 1	Stimulus	69	sr	sp	Rectangle 1	s2	37	37	1	37	0
Recording1	Test Participant 1	Stimulus	69	sr	sp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	69	sr	sp	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	69	sr	sp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	69	sr	sp	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	69	sr	sp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	69	sr	sp	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	70	sr	sp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	70	sr	sp	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	70	sr	sp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	70	sr	sp	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	70	sr	sp	Rectangle 2	s3	0		0		0
