"task","stimulus","rt","response","trial_type","trial_index","plugin_version","time_elapsed","part_id","item_type","segment","clause_type","number","correct_answer","answer"
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | eat</p>","583"," ","html-keyboard-response","16","2.0.0","2","s62","exp_item","s5","or","pp","",""
"question","<h2>Do the dogs that the cats watch eat?</h2>","630","1","html-button-response","17","2.0.0","2","s62","exp_item","","or","pp","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","19","2.0.0","3","s62","","","","","",""
"item","<p class=""stimulus"">________ | ____ | ___ | _______ | _____</p>","992"," ","html-keyboard-response","20","2.0.0","3","s62","exp_item","s0","sr","ps","",""
"item","<p class=""stimulus"">The cats | ____ | ___ | _______ | _____</p>","555"," ","html-keyboard-response","21","2.0.0","3","s62","exp_item","s1","sr","ps","",""
"item","<p class=""stimulus"">________ | that | ___ | _______ | _____</p>","725"," ","html-keyboard-response","22","2.0.0","3","s62","exp_item","s2","sr","ps","",""
"item","<p class=""stimulus"">________ | ____ | hug | _______ | _____</p>","587"," ","html-keyboard-response","23","2.0.0","3","s62","exp_item","s3","sr","ps","",""
"item","<p class=""stimulus"">________ | ____ | ___ | the dog | _____</p>","574"," ","html-keyboard-response","24","2.0.0","3","s62","exp_item","s4","sr","ps","",""
"item","<p class=""stimulus"">________ | ____ | ___ | _______ | smile</p>","516"," ","html-keyboard-response","25","2.0.0","3","s62","exp_item","s5","sr","ps","",""
"question","<h2>Do the cats that hug the dogs smile?</h2>","566","0","html-button-response","26","2.0.0","3","s62","exp_item","","sr","ps","1","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","27","2.0.0","3","s62","","","","","",""
"item","<p class=""stimulus"">_________ | ____ | ________ | _______ | ____</p>","772"," ","html-keyboard-response","28","2.0.0","3","s62","exp_item","s0","or","ss","",""
"item","<p class=""stimulus"">The zebra | ____ | ________ | _______ | ____</p>","697"," ","html-keyboard-response","29","2.0.0","3","s62","exp_item","s1","or","ss","",""
"item","<p class=""stimulus"">_________ | that | ________ | _______ | ____</p>","957"," ","html-keyboard-response","30","2.0.0","3","s62","exp_item","s2","or","ss","",""
"item","<p class=""stimulus"">_________ | ____ | the horse| _______ | ____</p>","568"," ","html-keyboard-response","31","2.0.0","3","s62","exp_item","s3","or","ss","",""
"item","<p class=""stimulus"">_________ | ____ | ________ | follows | ____</p>","695"," ","html-keyboard-response","32","2.0.0","3","s62","exp_item","s4","or","ss","",""
"item","<p class=""stimulus"">_________ | ____ | ________ | _______ | runs</p>","502"," ","html-keyboard-response","33","2.0.0","3","s62","exp_item","s5","or","ss","",""
"question","<h2>Does the zebra that the horse follows run?</h2>","781","1","html-button-response","34","2.0.0","3","s62","exp_item","","or","ss","1","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","35","2.0.0","3","s62","","","","","",""
"item","<p class=""stimulus"">_________ | ___ | ______ | __________ | _______</p>","541"," ","html-keyboard-response","36","2.0.0","3","s62","fill_item","s0","sr","ss","",""
"item","<p class=""stimulus"">The woman | ___ | ______ | __________ | _______</p>","506"," ","html-keyboard-response","37","2.0.0","3","s62","fill_item","s1","sr","ss","",""
"item","<p class=""stimulus"">_________ | who | ______ | __________ | _______</p>","472"," ","html-keyboard-response","38","2.0.0","3","s62","fill_item","s2","sr","ss","",""
"item","<p class=""stimulus"">_________ | ___ | stores |___________ | _______</p>","790"," ","html-keyboard-response","39","2.0.0","3","s62","fill_item","s3","sr","ss","",""
"item","<p class=""stimulus"">_________ | ___ | ______ | the letter | _______</p>","525"," ","html-keyboard-response","40","2.0.0","4","s62","fill_item","s4","sr","ss","",""
"item","<p class=""stimulus"">_________ | ___ | ______ | __________ | murmurs</p>","700"," ","html-keyboard-response","41","2.0.0","4","s62","fill_item","s5","sr","ss","",""
"question","<h2>Does the woman who stores the letter murmur?</h2>","580","1","html-button-response","42","2.0.0","4","s62","fill_item","","sr","ss","1","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","43","2.0.0","4","s62","","","","","",""
"item","<p class=""stimulus"">________ | ___ | _____ | _______ | _____</p>","509"," ","html-keyboard-response","44","2.0.0","4","s62","fill_item","s0","sr","ss","",""
"item","<p class=""stimulus"">The chef | ___ | _____ | _______ | _____</p>","671"," ","html-keyboard-response","45","2.0.0","4","s62","fill_item","s1","sr","ss","",""
"item","<p class=""stimulus"">________ | who | _____ | _______ | _____</p>","735"," ","html-keyboard-response","46","2.0.0","4","s62","fill_item","s2","sr","ss","",""
"item","<p class=""stimulus"">________ | ___ | kicks |________ | _____</p>","806"," ","html-keyboard-response","47","2.0.0","4","s62","fill_item","s3","sr","ss","",""
"item","<p class=""stimulus"">________ | ___ | _____ | the box | _____</p>","579"," ","html-keyboard-response","48","2.0.0","4","s62","fill_item","s4","sr","ss","",""
"item","<p class=""stimulus"">________ | ___ | _____ | _______ | cries</p>","712"," ","html-keyboard-response","49","2.0.0","4","s62","fill_item","s5","sr","ss","",""
"question","<h2>Does the chef who kicks the box cry?</h2>","513","0","html-button-response","50","2.0.0","4","s62","fill_item","","sr","ss","1","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","51","2.0.0","4","s62","","","","","",""
"item","<p class=""stimulus"">_________ | ___ | _____ | __________ | ______</p>","672"," ","html-keyboard-response","52","2.0.0","4","s62","fill_item","s0","sr","ss","",""
"item","<p class=""stimulus"">The woman | ___ | _____ | __________ | ______</p>","525"," ","html-keyboard-response","53","2.0.0","4","s62","fill_item","s1","sr","ss","",""
"item","<p class=""stimulus"">_________ | who | _____ | __________ | ______</p>","740"," ","html-keyboard-response","54","2.0.0","4","s62","fill_item","s2","sr","ss","",""
"item","<p class=""stimulus"">_________ | ___ | burns |___________ | ______</p>","635"," ","html-keyboard-response","55","2.0.0","4","s62","fill_item","s3","sr","ss","",""
"item","<p class=""stimulus"">_________ | ___ | _____ | the letter | ______</p>","636"," ","html-keyboard-response","56","2.0.0","4","s62","fill_item","s4","sr","ss","",""
"item","<p class=""stimulus"">_________ | ___ | _____ | __________ | leaves</p>","662"," ","html-keyboard-response","57","2.0.0","4","s62","fill_item","s5","sr","ss","",""
"question","<h2>Does the woman who burns the letter leave?</h2>","1079","0","html-button-response","58","2.0.0","4","s62","fill_item","","sr","ss","1","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","59","2.0.0","4","s62","","","","","",""
"item","<p class=""stimulus"">________ | ____ | ____ | ________ | ___</p>","929"," ","html-keyboard-response","60","2.0.0","4","s62","exp_item","s0","sr","pp","",""
"item","<p class=""stimulus"">The dogs | ____ | ____ | ________ | ___</p>","781"," ","html-keyboard-response","61","2.0.0","4","s62","exp_item","s1","sr","pp","",""
"item","<p class=""stimulus"">________ | that | ____ | ________ | ___</p>","1134"," ","html-keyboard-response","62","2.0.0","4","s62","exp_item","s2","sr","pp","",""
"item","<p class=""stimulus"">________ | ____ | push | ________ | ___</p>","508"," ","html-keyboard-response","63","2.0.0","5","s62","exp_item","s3","sr","pp","",""
"item","<p class=""stimulus"">________ | ____ | ____ | the cats | ___</p>","349"," ","html-keyboard-response","64","2.0.0","5","s62","exp_item","s4","sr","pp","",""
"item","<p class=""stimulus"">________ | ____ | ____ | ________ | cry</p>","443"," ","html-keyboard-response","65","2.0.0","5","s62","exp_item","s5","sr","pp","",""
"question","<h2>Do the cats that push the dogs cry?</h2>","772","1","html-button-response","66","2.0.0","5","s62","exp_item","","sr","pp","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","67","2.0.0","5","s62","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | ______ | _______ | _____</p>","674"," ","html-keyboard-response","68","2.0.0","5","s62","exp_item","s0","sr","ss","",""
"item","<p class=""stimulus"">The dog | ____ | ______ | _______ | _____</p>","836"," ","html-keyboard-response","69","2.0.0","5","s62","exp_item","s1","sr","ss","",""
"item","<p class=""stimulus"">_______ | that | ______ | _______ | _____</p>","909"," ","html-keyboard-response","70","2.0.0","5","s62","exp_item","s2","sr","ss","",""
"item","<p class=""stimulus"">_______ | ____ | pushes | _______ | _____</p>","636"," ","html-keyboard-response","71","2.0.0","5","s62","exp_item","s3","sr","ss","",""
"item","<p class=""stimulus"">_______ | ____ | ______ | the cat | _____</p>","661"," ","html-keyboard-response","72","2.0.0","5","s62","exp_item","s4","sr","ss","",""
"item","<p class=""stimulus"">_______ | ____ | ______ | _______ | cries</p>","573"," ","html-keyboard-response","73","2.0.0","5","s62","exp_item","s5","sr","ss","",""
"question","<h2>Does the cat that pushes the dog cry?</h2>","688","1","html-button-response","74","2.0.0","5","s62","exp_item","","sr","ss","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","75","2.0.0","6","s62","","","","","",""
"item","<p class=""stimulus"">__________ | ____ | _____ | _________ | ____</p>","594"," ","html-keyboard-response","76","2.0.0","6","s62","exp_item","s0","sr","ps","",""
"item","<p class=""stimulus"">The horses | ____ | _____ | _________ | ____</p>","701"," ","html-keyboard-response","77","2.0.0","6","s62","exp_item","s1","sr","ps","",""
"item","<p class=""stimulus"">__________ | that | _____ | _________ | ____</p>","613"," ","html-keyboard-response","78","2.0.0","6","s62","exp_item","s2","sr","ps","",""
"item","<p class=""stimulus"">__________ | ____ | chase | _________ | ____</p>","994"," ","html-keyboard-response","79","2.0.0","6","s62","exp_item","s3","sr","ps","",""
"item","<p class=""stimulus"">__________ | ____ | _____ | the zebra | ____</p>","705"," ","html-keyboard-response","80","2.0.0","6","s62","exp_item","s4","sr","ps","",""
"item","<p class=""stimulus"">__________ | ____ | _____ | _________ | fall</p>","556"," ","html-keyboard-response","81","2.0.0","6","s62","exp_item","s5","sr","ps","",""
"question","<h2>Do the horses that chase the zebra fall?</h2>","654","0","html-button-response","82","2.0.0","6","s62","exp_item","","sr","ps","1","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","83","2.0.0","6","s62","","","","","",""
"item","<p class=""stimulus"">_________ | ____ | _______ | __________ | ____</p>","385"," ","html-keyboard-response","84","2.0.0","6","s62","exp_item","s0","sr","sp","",""
"item","<p class=""stimulus"">The zebra | ____ | _______ | __________ | ____</p>","627"," ","html-keyboard-response","85","2.0.0","6","s62","exp_item","s1","sr","sp","",""
"item","<p class=""stimulus"">_________ | that | _______ | __________ | ____</p>","400"," ","html-keyboard-response","86","2.0.0","6","s62","exp_item","s2","sr","sp","",""
"item","<p class=""stimulus"">_________ | ____ | follows | __________ | ____</p>","528"," ","html-keyboard-response","87","2.0.0","6","s62","exp_item","s3","sr","sp","",""
"item","<p class=""stimulus"">_________ | ____ | _______ | the horses | ____</p>","617"," ","html-keyboard-response","88","2.0.0","6","s62","exp_item","s4","sr","sp","",""
"item","<p class=""stimulus"">_________ | ____ | _______ | __________ | runs</p>","670"," ","html-keyboard-response","89","2.0.0","6","s62","exp_item","s5","sr","sp","",""
"question","<h2>Does the zebra that follows the horses run?</h2>","574","1","html-button-response","90","2.0.0","6","s62","exp_item","","sr","sp","1","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","91","2.0.0","6","s62","","","","","",""
"item","<p class=""stimulus"">__________ | ____ | ______ | __________ | ___</p>","531"," ","html-keyboard-response","92","2.0.0","6","s62","exp_item","s0","sr","pp","",""
"item","<p class=""stimulus"">The zebras | ____ | ______ | __________ | ___</p>","582"," ","html-keyboard-response","93","2.0.0","6","s62","exp_item","s1","sr","pp","",""
"item","<p class=""stimulus"">__________ | that | ______ | __________ | ___</p>","512"," ","html-keyboard-response","94","2.0.0","6","s62","exp_item","s2","sr","pp","",""
"item","<p class=""stimulus"">__________ | ____ | follow | __________ | ___</p>","622"," ","html-keyboard-response","95","2.0.0","6","s62","exp_item","s3","sr","pp","",""
"item","<p class=""stimulus"">__________ | ____ | ______ | the horses | ___</p>","672"," ","html-keyboard-response","96","2.0.0","6","s62","exp_item","s4","sr","pp","",""
"item","<p class=""stimulus"">__________ | ____ | ______ | __________ | run</p>","589"," ","html-keyboard-response","97","2.0.0","6","s62","exp_item","s5","sr","pp","",""
"question","<h2>Do the zebras that follow the horses run?</h2>","522","1","html-button-response","98","2.0.0","6","s62","exp_item","","sr","pp","1","1"
